0.0500 39.18
0.0550 32.89
0.0600 28.69
0.0625 26.55
0.0650 26.14
0.0675 25.12
0.0700 24.88
0.0725 25.99
0.0750 25.83
0.0800 29.79
0.1000 30.23
0.2000 34.65
0.3000 38.87
0.4000 43.27
0.5000 46.41
0.6000 45.79
0.7000 44.53
0.8000 45.59
0.9000 48.61
1.0000 47.73
1.1000 46.56
1.2000 47.81
1.3000 49.21
1.4000 49.55
1.5000 49.75
1.6000 52.01
1.7000 54.04
1.8000 51.44
1.9000 51.81
2.0000 52.45
2.1000 52.77
2.2000 52.08
2.3000 51.86
2.4000 53.83
2.5000 56.99
2.6000 52.53
2.7000 53.86
2.8000 54.17
2.9000 53.38
3.0000 53.67
3.1000 54.06
3.2000 54.23
3.3000 55.10
3.4000 55.36
3.5000 55.21
3.6000 55.36
3.7000 55.39
3.8000 55.03
3.9000 56.05
4.0000 58.27
